Business Name,Rating,Address,Phone,Website,Maps URL,Scraped At
Uncle Philip's Toy Workshop,4.7,"Choriner Str. 35, 10435 Berlin, Germany",+49 30 4490491,http://www.onkel-philipp.de/,"https://www.google.com/maps/place/Uncle+Philip's+Toy+Workshop/@50.3343573,10.1804469,7z/data=!3m1!5s0x47a851fdd302a38b:0x617b1a95b44f4691!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a851fc2cd24b53:0x37eca843ed7fcd6a!8m2!3d52.5365298!4d13.4105647!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBkRFZtWlhsUlJSQUKqAVsKCS9tLzAxMzh0bBABKg8iC3RveXMgc3RvcmVzKAAyHxABIhsUo0dqT2TGqAYrSgpHo0rJnx-hFSdoTCf3wPUyGhACIhZ0b3lzIHN0b3JlcyBpbiBnZXJtYW554AEA-gEECAAQPg!16s%2Fg%2F1q69kqbzt?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:26
Werken Spielen Schenken GmbH & Co. KG,4.5,"Schloßstraße 110B, 12163 Berlin, Germany",+49 30 7908090,https://werken-spielen-schenken.de/,"https://www.google.com/maps/place/Werken+Spielen+Schenken+GmbH+%26+Co.+KG/@52.5365298,8.7963069,7z/data=!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a85a83eb1b689d:0x56a03a5faabb8de0!8m2!3d52.4613911!4d13.3254226!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhkblZoTnpSM1JSQUKqAVsKCS9tLzAxMzh0bBABKg8iC3RveXMgc3RvcmVzKAAyHxABIhsUo0dqT2TGqAYrSgpHo0rJnx-hFSdoTCf3wPUyGhACIhZ0b3lzIHN0b3JlcyBpbiBnZXJtYW554AEA-gEECCUQQw!16s%2Fg%2F1xcbnnpf?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:30
Toys n electronics,3.2,"Hugo-Eckener-Ring 1, 60549 Frankfurt am Main, Germany",+49 69 69072119,https://www.frankfurt-airport.com/en/locations/t/toys-and-electronics/toys-and-electronics.html,"https://www.google.com/maps/place/Toys+n+electronics/@52.5365298,8.7963069,7z/data=!3m1!5s0x47bd0ac0afb48eb9:0x55f0c58820f7bbe6!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47bd0ac1c7a58c7b:0xb57d10025ad58b2c!8m2!3d50.0510431!4d8.5738962!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55kgEJdG95X3N0b3JlqgFbCgkvbS8wMTM4dGwQASoPIgt0b3lzIHN0b3JlcygAMh8QASIbFKNHak9kxqgGK0oKR6NKyZ8foRUnaEwn98D1MhoQAiIWdG95cyBzdG9yZXMgaW4gZ2VybWFueeABAA!16s%2Fg%2F11xjvf1pg?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:34
Viel Spiel,4.2,"Große Hamburger Str. 28, 10115 Berlin, Germany",+49 30 96065266,https://www.vielspiel.de/,"https://www.google.com/maps/place/Viel+Spiel/@50.0510431,3.9596384,7z/data=!3m1!5s0x47a851e6ddc822df:0x8f1506a73b9034e8!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a851e6dc96dd35:0x11bd42b4165fc005!8m2!3d52.5250997!4d13.3991633!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm9jR1Z1ZW1OUkVBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIABAo!16s%2Fg%2F1tc_7pyb?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:39
"folk berlin, Kreuzberg",4.9,"Mittenwalder Str. 47, 10961 Berlin, Germany",,http://www.folkberlin.com/,"https://www.google.com/maps/place/folk+berlin,+Kreuzberg/@52.5250997,8.7849055,7z/data=!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a84f374fd2a2fb:0x4ae1ac59634c5543!8m2!3d52.4924238!4d13.397007!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkNiVWt6Ums5UkVBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIABAr!16s%2Fg%2F11nmj8585h?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:43
Smyths Toys,4.0,"Theresienhöhe 5/1.OG, 80339 München, Germany",+49 89 693310630,https://www.smythstoys.com/de/de-de/,"https://www.google.com/maps/place/Smyths+Toys/@52.5250997,8.7849055,7z/data=!3m1!5s0x479dd8aabeca73c1:0xcb2673121182dc26!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x479dd9791bf64b5d:0x7705fab5407e301f!8m2!3d48.1369006!4d11.5460652!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTndkbkUzT0VsbkVBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIABAe!16s%2Fg%2F11g_zkxcq6?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:47
Smyths Toys Superstore Köln-Zentrum,3.8,"Breite Str. 80-90, 50667 Köln, Germany",+49 221 67007500,https://www.smythstoys.com/de/de-de/,"https://www.google.com/maps/place/Smyths+Toys+Superstore+K%C3%B6ln-Zentrum/@48.1369006,6.9318074,7z/data=!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47bf259bdbd3e3e1:0xc7a734eef132e062!8m2!3d50.9390215!4d6.950329!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRNelJRV1VoM0VBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIABA5!16s%2Fg%2F11h51c_j_z?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:51
Toy Factory,4.3,"Nordhäuser Str. 73t, 99091 Erfurt, Germany",+49 361 6604612,http://www.toy-factory.de/,"https://www.google.com/maps/place/Toy+Factory/@50.9390215,2.3360712,7z/data=!3m1!5s0x47a46d91f0a96a1d:0xad0170a764214d90!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a46d918ae23e05:0xe2408fcdc0605658!8m2!3d51.0083207!4d10.9929115!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhPRGhmZURGQlJSQUKqAVsKCS9tLzAxMzh0bBABKg8iC3RveXMgc3RvcmVzKAAyHxABIhsUo0dqT2TGqAYrSgpHo0rJnx-hFSdoTCf3wPUyGhACIhZ0b3lzIHN0b3JlcyBpbiBnZXJtYW554AEA-gEECAAQLA!16s%2Fg%2F1td1cf8s?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:16:56
LEGO Store Leipzig,4.7,"Höfe Am Brühl, Brühl 1, 04109 Leipzig, Germany",+49 341 33974568,https://www.lego.com/de-de/stores/stores/de/leipzig?utm_source=Google&utm_medium=Yext&y_source=1_MTY2ODY3MjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"https://www.google.com/maps/place/LEGO+Store+Leipzig/@51.0083207,6.3786537,7z/data=!3m1!5s0x47a6f8219297a9bd:0x6e3ce34b83a853a4!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47a6f821ae708211:0x77c81a479face2c0!8m2!3d51.3436366!4d12.3742868!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUndjMDFwYWs1QkVBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIABAv!16s%2Fg%2F1ygb7nd0d?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:17:00
Toys World GmbH,4.2,"Hans-Böckler-Straße 55, 33334 Gütersloh, Germany",+49 5241 6897000,http://www.toysworld-spielwaren.de/,"https://www.google.com/maps/place/Toys+World+GmbH/@51.3436366,7.760029,7z/data=!4m11!1m3!2m2!1stoys+stores+in+germany!6e6!3m6!1s0x47ba2f50097a9ad9:0x1b2a2b100c9804ff!8m2!3d51.884983!4d8.3551769!15sChZ0b3lzIHN0b3JlcyBpbiBnZXJtYW55WhgiFnRveXMgc3RvcmVzIGluIGdlcm1hbnmSAQl0b3lfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhjMDVmYmxSUkVBRaoBWwoJL20vMDEzOHRsEAEqDyILdG95cyBzdG9yZXMoADIfEAEiGxSjR2pPZMaoBitKCkejSsmfH6EVJ2hMJ_fA9TIaEAIiFnRveXMgc3RvcmVzIGluIGdlcm1hbnngAQD6AQQIIRAt!16s%2Fg%2F1tjdqfhj?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-23 20:17:04
